jugador,equipo,precio,rating,win_rounds,loss_rounds, padding_rounds, elim_rounds
sh1Fu,EAC,171,0,0,1,0,2

choiv7,Sangrija,180,0,0,1,0,2
kdaN,Sangrija,177,0,0,1,0,2
miwo,Sangrija,180,0,0,1,0,2
VENO,Sangrija,170,0,0,1,0,2
nopzy,Sangrija,180,0,0,1,0,2

max,9z,194,91,2,1,0,0
dgt,9z,217,108,2,1,0,0
meyern,9z,200,95,2,1,0,0
luchov,9z,222,114,2,1,0,0
HUASOPEEK,9z,212,98,2,1,0,0

Boombl4,BetBoom,195,98,3,0,0,0
zorte,BetBoom,216,100,3,0,0,0
S1ren,BetBoom,203,97,3,0,0,0
d1Ledez,BetBoom,219,105,3,0,0,0
Magnojez,BetBoom,230,118,3,0,0,0

HObbit,PARIVISION,201,112,1,1,0,1
Jame,PARIVISION,196,94,1,1,0,1
xiELO,PARIVISION,206,137,1,1,0,1
zweih,PARIVISION,209,109,1,1,0,1
slaxejezzz,PARIVISION,195,81,1,1,0,1

JamYoung,TYLOO,206,104,0,1,0,2
Jee,TYLOO,197,99,0,1,0,2
Mercury,TYLOO,190,90,0,1,0,2
Moseyuh,TYLOO,196,101,0,1,0,2
Zero,TYLOO,193,108,0,1,0,2

tabseN,BIG,180,94,0,1,0,2
JDC,BIG,198,100,0,1,0,2
faveN,BIG,186,92,0,1,0,2
blameF,BIG,215,109,0,1,0,2
gr1ks,BIG,196,100,0,1,0,2

Rainwaker,Monte,213,112,3,2,0,0
Bymas,Monte,194,94,3,2,0,0
afro,Monte,217,115,3,2,0,0
Gizmy,Monte,193,97,3,2,0,0
AZUWU,Monte,194,98,3,2,0,0

LNZ,MIBR,191,101,3,2,0,0
nqz,MIBR,215,0,3,2,0,0
brnz4n,MIBR,185,90,3,2,0,0
insani,MIBR,220,120,3,2,0,0
venomzera,MIBR,194,100,3,2,0,0

Westmelon,LynnVision,193,94,1,3,0,1
z4KR,LynnVision,205,100,1,3,0,1
Starry,LynnVision,195,111,1,3,0,1
EmiliaQAQ,LynnVision,186,100,1,3,0,1
C4LLM3SU3,LynnVision,183,96,1,3,0,1

arT,Legacy,196,92,3,0,2,0
dumau,Legacy,224,115,3,0,2,0
latto,Legacy,220,114,3,0,2,0
n1ssim,Legacy,207,102,3,0,2,0
saadzin,Legacy,212,106,3,0,2,0

jks,FlyQuest,183,0,0,3,0,2
INS,FlyQuest,170,0,0,3,0,2
Vexite,FlyQuest,187,0,0,3,0,2
nettik,FlyQuest,178,0,0,3,0,2
story,FlyQuest,177,0,0,3,0,2

nitr0,NRG,184,89,1,3,0,1
Sonic,NRG,199,105,1,3,0,1
oSee,NRG,193,91,1,3,0,1
Grim,NRG,203,103,1,3,0,1
br0,NRG,206,103,1,3,0,1

fer,GaiminGladiators ,175,98,1,3,0,1
HEN1,GaiminGladiators ,194,104,1,3,0,1
NEKIZ,GaiminGladiators ,176,87,1,3,0,1
Luken,GaiminGladiators ,213,120,1,3,0,1
JOTA,GaiminGladiators ,195,104,1,3,0,1

dexter,THUNDERdOWNUNDER,166,100,0,3,0,2
Liazz,THUNDERdOWNUNDER,183,117,0,3,0,2
aliStair,THUNDERdOWNUNDER,184,118,0,3,0,2
asap,THUNDERdOWNUNDER,188,123,0,3,0,2
TjP,THUNDERdOWNUNDER,167,103,0,3,0,2

S1mple,BCGame,203,109,1,2,0,4
ScrunK,BCGame,165,56,1,2,0,4
electroNic,BCGame,207,113,1,2,0,4
Senzu,BCGame,215,120,1,2,0,4
krazy,BCGame,178,90,1,2,0,4

Aleksib,NatusVincere,195,92,4,1,2,0
iM,NatusVincere,212,107,4,1,2,0
b1t,NatusVincere,220,110,4,1,2,0
w0nderful,NatusVincere,218,112,4,1,2,0
makazze,NatusVincere,225,121,4,1,2,0

jT,PassionUA,176,97,1,2,0,4
sdy,PassionUA,184,105,1,2,0,4
try,PassionUA,195,111,1,2,0,4
Kvem,PassionUA,182,105,1,2,0,4
nicx,PassionUA,173,92,1,2,0,4

neaLaN,FisherCollege,173,89,0,3,0,2
TH0R,FisherCollege,175,111,0,3,0,2
AlekS,FisherCollege,181,119,0,3,0,2
CrePoW,FisherCollege,178,117,0,3,0,2
corn,FisherCollege,166,100,0,3,0,2

nin9,Huns,175,110,0,3,0,2
sk0R,Huns,181,115,0,3,0,2
Bart4k,Huns,165,97,0,3,0,2
xerolte,Huns,174,109,0,3,0,2
controlez,Huns,170,103,0,3,0,2

SPELLAN,Acend,184,94,0,1,0,3
KalubeR,Acend,205,111,0,1,0,3
h4rn,Acend,208,118,0,1,0,3
shaiK,Acend,195,104,0,1,0,3
Skrimo,Acend,195,108,0,1,0,3

Ax1Le,TDK,209,119,1,1,0,2
